patient_id,full_name,ssn,department,diagnosis,treatment_cost,admitted_date
PT-1305,Joy Gilbert,335-95-8720,Radiology,Hypertension,269.75,2026-05-17
PT-1306,Tyrone Smith,402-99-2443,Radiology,Hypertension,11011.9,2026-02-24
PT-1307,Kyle Singh,792-55-0113,Oncology,Fracture,2465.37,2026-08-28
PT-1308,Chad Evans,520-84-7642,Oncology,Fracture,3454.52,2026-01-25
PT-1309,Timothy Dorsey,780-49-1345,Oncology,Fracture,5874.71,2026-04-05
PT-1310,Joseph Gutierrez,602-60-9186,Cardiology,Hypertension,5510.33,2026-07-08
PT-1311,Gary Murphy,036-72-6721,Radiology,Asthma,11516.02,2026-04-08
PT-1312,Cynthia Douglas,212-45-6863,Cardiology,Type 2 Diabetes,9301.83,2026-03-17
PT-1313,Penny Powell,461-28-9074,Oncology,Asthma,10883.95,2026-03-13
PT-1314,Brian Allen,795-57-9517,Radiology,Migraine,2174.56,2026-03-20
PT-1315,Robert Lee,861-01-4171,Pediatrics,Migraine,11411.43,2026-06-12
PT-1316,Brian Joseph,203-84-0036,Cardiology,Type 2 Diabetes,5281.57,2026-07-01
PT-1317,Jamie Brown,684-15-9018,Radiology,Type 2 Diabetes,12041.25,2026-09-01
PT-1318,Amanda Peterson,877-62-8198,Radiology,Asthma,1842.08,2026-02-15
PT-1319,Patty Smith,745-74-9009,Radiology,Fracture,12306.62,2026-04-13
PT-1320,Travis Moore,066-26-9889,Pediatrics,Fracture,6339.24,2026-07-05
PT-1321,Katherine Hurley,077-59-2440,Radiology,Asthma,12160.39,2026-04-13
PT-1322,Sabrina Thompson,258-19-1612,Oncology,Type 2 Diabetes,6085.13,2026-06-17
PT-1323,Christopher David,830-23-6964,Pediatrics,Type 2 Diabetes,13942.51,2026-03-21
PT-1324,Miguel Brown,376-82-9679,Cardiology,Migraine,7065.68,2026-07-15
PT-1325,Derrick Howard,227-44-8537,Radiology,Hypertension,7589.86,2026-03-26
PT-1326,Sandra Brown,424-48-0914,Pediatrics,Hypertension,6909.38,2026-04-11
PT-1327,Judy Clark,729-25-9335,Oncology,Fracture,8603.01,2026-02-18
PT-1328,Christian Smith,085-01-0115,Radiology,Type 2 Diabetes,8228.76,2026-01-09
PT-1329,April Clarke,487-88-2141,Oncology,Fracture,10325.51,2026-05-17
PT-1330,Michelle Lee,541-91-5176,Radiology,Type 2 Diabetes,9135.14,2026-01-04
PT-1331,Andrew Simmons,521-83-6781,Pediatrics,Type 2 Diabetes,7368.93,2026-03-18
PT-1332,Amanda Sandoval,668-64-7691,Radiology,Migraine,5767.07,2026-01-25
PT-1333,Alejandro Faulkner,297-64-4200,Pediatrics,Migraine,12180.11,2026-01-24
PT-1334,Ashley Yates,273-09-2651,Pediatrics,Asthma,4653.44,2026-01-09
PT-1335,Wendy Wilcox,594-12-9535,Cardiology,Type 2 Diabetes,4528.42,2026-07-30
PT-1336,Alexander Edwards,578-73-5526,Pediatrics,Asthma,11906.25,2026-07-15
PT-1337,Joshua Thompson,143-63-6194,Pediatrics,Fracture,760.6,2026-05-31
PT-1338,Eric Lopez DVM,785-25-3654,Cardiology,Asthma,4138.27,2026-08-28
PT-1339,Zachary Reynolds,238-81-8379,Pediatrics,Hypertension,12408.89,2026-03-27
PT-1340,John Frazier,003-10-5524,Oncology,Hypertension,822.28,2026-03-07
PT-1341,Tracy Brandt,462-91-2788,Pediatrics,Fracture,14683.63,2026-02-11
PT-1342,Michael Lucas,513-95-0544,Pediatrics,Fracture,206.86,2026-07-22
PT-1343,Aaron Scott,204-86-0609,Radiology,Asthma,10191.56,2026-01-28
PT-1344,James Walters,754-84-5188,Radiology,Migraine,13735.97,2026-01-19
PT-1345,Dean Jones,620-74-4873,Radiology,Asthma,724.26,2026-07-24
PT-1346,Travis Banks,822-79-0517,Radiology,Type 2 Diabetes,6662.58,2026-01-18
PT-1347,Michael Liu,548-84-0328,Cardiology,Asthma,2255.09,2026-07-26
PT-1348,Adriana Davis,097-04-2986,Cardiology,Fracture,11447.46,2026-08-11
PT-1349,Timothy Ward,477-83-2555,Radiology,Type 2 Diabetes,10387.17,2026-01-04
PT-1350,Peter Smith,141-11-2555,Radiology,Hypertension,6150.5,2026-05-19
PT-1351,Jason Williams,124-53-8820,Cardiology,Fracture,4617.57,2026-01-11
PT-1352,Timothy Castro,688-07-9974,Radiology,Hypertension,2249.69,2026-04-30
PT-1353,Jeffrey Mendoza,228-55-0741,Cardiology,Asthma,3302.6,2026-02-09
PT-1354,Kathryn Lara,665-76-3694,Radiology,Type 2 Diabetes,6034.84,2026-06-21
PT-1355,Jill Burgess,404-78-0354,Radiology,Fracture,1724.88,2026-08-07
PT-1356,Laura Davis,462-44-5084,Cardiology,Asthma,8309.35,2026-03-14
PT-1357,Samantha Schneider,284-67-4230,Radiology,Migraine,1247.13,2026-06-03
PT-1358,Brenda Adams,850-96-7544,Cardiology,Migraine,10704.71,2026-03-27
PT-1359,Brent Swanson,325-04-0290,Radiology,Hypertension,3682.62,2026-05-02
PT-1360,Shelia Walker,333-96-9928,Radiology,Migraine,9836.8,2026-07-24
PT-1361,Aaron Stuart,748-26-9159,Radiology,Hypertension,10721.25,2026-03-14
PT-1362,Dr. Jill Jordan,168-74-8572,Cardiology,Hypertension,4076.01,2026-01-26
PT-1363,Amy Martinez,853-06-6909,Cardiology,Asthma,7695.69,2026-07-25
PT-1364,Margaret Singh,003-37-3154,Cardiology,Hypertension,3585.48,2026-08-20
PT-1365,Kelli Hayes,778-13-2775,Cardiology,Hypertension,12917.67,2026-01-28
PT-1366,Robert Wiggins,011-05-0378,Radiology,Asthma,6860.25,2026-06-24
PT-1367,Dawn Gonzalez,452-49-9843,Oncology,Fracture,13077.87,2026-03-10
PT-1368,Michael Lopez,816-60-5321,Cardiology,Fracture,3978.18,2026-03-16
PT-1369,Jeanette Smith,829-63-7098,Cardiology,Migraine,12026.59,2026-09-13
PT-1370,Susan David,234-33-4652,Cardiology,Hypertension,5931.73,2026-03-12
PT-1371,James Haynes,667-25-3094,Oncology,Hypertension,3818.17,2026-05-08
PT-1372,Jacob Hernandez,552-76-1524,Oncology,Fracture,14597.12,2026-04-06
PT-1373,Jenny Ward,871-13-6388,Radiology,Fracture,5050.9,2026-08-08
PT-1374,Kristin Pierce,496-69-8025,Cardiology,Migraine,2856.02,2026-05-30
PT-1375,Angela Foster,703-65-4971,Radiology,Asthma,5098.27,2026-07-01
PT-1376,Denise Jordan,777-89-8437,Radiology,Migraine,9610.8,2026-03-24
PT-1377,Ruben Petersen,868-79-0931,Radiology,Asthma,11352.89,2026-06-09
PT-1378,Andrea Buck,740-06-9654,Cardiology,Fracture,2666.49,2026-04-13
PT-1379,Alisha Cruz,311-76-0425,Pediatrics,Migraine,8942.96,2026-03-11
PT-1380,Albert Jordan,679-68-3878,Radiology,Fracture,687.61,2026-01-31
PT-1381,Crystal Myers,485-32-6003,Oncology,Migraine,6027.39,2026-06-13
PT-1382,Paul Torres,608-56-3338,Pediatrics,Asthma,8752.48,2026-06-17
PT-1383,Michael Ortiz,174-99-3661,Cardiology,Hypertension,11972.04,2026-08-10
PT-1384,Christine Clark,700-41-0925,Cardiology,Type 2 Diabetes,14353.31,2026-05-04
PT-1385,Lisa Garcia,714-08-2521,Radiology,Migraine,14300.52,2026-05-01
PT-1386,Louis Davis,170-75-0096,Radiology,Fracture,13296.56,2026-01-25
PT-1387,Holly Glass,466-13-5009,Radiology,Fracture,6881.95,2026-08-20
PT-1388,David Chapman,635-39-9056,Radiology,Fracture,13705.11,2026-01-28
PT-1389,Calvin Reilly,088-48-7023,Pediatrics,Type 2 Diabetes,1236.43,2026-05-07
PT-1390,Kyle Rasmussen,255-61-3338,Cardiology,Migraine,13291.93,2026-07-18
PT-1391,Shelly Lindsey,132-23-6264,Pediatrics,Hypertension,11762.25,2026-03-29
PT-1392,Joshua Osborne,705-81-2233,Radiology,Migraine,6736.08,2026-04-18
PT-1393,David Whitney,215-89-4313,Pediatrics,Type 2 Diabetes,10514.16,2026-04-18
PT-1394,Jessica Garcia,879-08-1983,Cardiology,Fracture,12629.93,2026-09-10
PT-1395,Dakota David,182-87-9987,Pediatrics,Type 2 Diabetes,11435.86,2026-01-12
PT-1396,Matthew Monroe,145-16-6616,Pediatrics,Migraine,8971.59,2026-08-10
PT-1397,Rebecca Gordon,421-43-4237,Oncology,Migraine,12336.0,2026-08-29
PT-1398,Tommy Mcintosh,616-46-4386,Radiology,Type 2 Diabetes,13725.0,2026-07-05
PT-1399,Richard Peterson,328-55-9746,Cardiology,Fracture,7557.86,2026-04-21
PT-1400,Omar Henry,199-28-5707,Oncology,Migraine,2203.86,2026-05-06
PT-1401,Paige Sanchez,703-45-0481,Radiology,Migraine,12095.83,2026-07-26
PT-1402,Lindsay Marshall,487-94-2931,Pediatrics,Asthma,12046.8,2026-03-05
PT-1403,Daniel George,360-39-8256,Radiology,Hypertension,6505.24,2026-03-08
PT-1404,Sarah Smith,025-27-5159,Cardiology,Asthma,11409.8,2026-01-31
PT-1405,Nicholas Martin,070-63-6174,Pediatrics,Migraine,1795.92,2026-07-04
PT-1406,Ariel Jackson,078-90-6241,Oncology,Migraine,6876.75,2026-05-31
PT-1407,Nathan Haynes,756-76-5092,Cardiology,Migraine,5413.74,2026-09-06
PT-1408,Mathew Jones,241-95-4971,Cardiology,Type 2 Diabetes,6724.4,2026-08-27
PT-1409,Ann Smith,247-64-3370,Radiology,Hypertension,9317.74,2026-06-21
PT-1410,Adam Ruiz,439-51-2407,Pediatrics,Fracture,5919.81,2026-03-01
PT-1411,Christopher Wilkerson,256-53-3691,Oncology,Hypertension,14831.01,2026-04-08
PT-1412,Jose Vazquez,216-38-5564,Radiology,Fracture,7249.47,2026-06-29
PT-1413,Shelby Smith,462-01-6924,Cardiology,Hypertension,2622.14,2026-04-05
PT-1414,Lisa Thomas,081-21-4944,Oncology,Hypertension,12079.6,2026-04-06
PT-1415,Brenda Jefferson MD,397-67-2317,Cardiology,Fracture,5302.43,2026-05-21
PT-1416,Samantha Williams,768-03-9520,Oncology,Asthma,13319.29,2026-09-01
PT-1417,Jenny Bell,750-88-2409,Pediatrics,Fracture,8730.48,2026-07-22
PT-1418,Robert Garcia,523-78-7665,Radiology,Fracture,5436.65,2026-05-09
PT-1419,Debra Evans,009-09-6065,Oncology,Type 2 Diabetes,1826.05,2026-03-28
PT-1420,Taylor Bowen,752-33-9202,Radiology,Type 2 Diabetes,14597.57,2026-04-15
PT-1421,Mrs. Alicia Mahoney,592-70-4182,Pediatrics,Fracture,6267.94,2026-07-02
PT-1422,Blake Fuller,642-18-0580,Radiology,Hypertension,2799.66,2026-06-20
PT-1423,Christopher Bryan,058-53-9608,Cardiology,Asthma,9884.87,2026-08-26
PT-1424,Jonathan Berry,759-26-2522,Radiology,Type 2 Diabetes,9493.44,2026-05-29
PT-1425,Mike Martin,001-84-6643,Oncology,Asthma,4078.09,2026-08-16
PT-1426,Andrew Rivera,738-80-0428,Oncology,Migraine,12985.35,2026-07-17
PT-1427,Cynthia Cole,188-35-4523,Oncology,Hypertension,10785.99,2026-01-28
PT-1428,Kelly Jones,559-28-6679,Oncology,Fracture,4878.39,2026-06-13
PT-1429,Mitchell Ponce,143-72-9805,Radiology,Hypertension,8998.18,2026-01-20
PT-1430,Nicole Curry,633-93-4825,Pediatrics,Hypertension,3531.66,2026-07-08
PT-1431,Matthew Lamb,519-04-7854,Pediatrics,Fracture,8647.43,2026-01-30
PT-1432,Deborah Smith,611-09-7265,Pediatrics,Fracture,12556.99,2026-06-25
PT-1433,George Anderson,695-66-3348,Radiology,Type 2 Diabetes,8562.44,2026-05-20
PT-1434,Lauren Thompson,778-65-9214,Pediatrics,Type 2 Diabetes,14749.21,2026-08-24
PT-1435,Ariel Williams,387-99-8921,Pediatrics,Hypertension,14189.09,2026-02-07
PT-1436,Devin Walker,677-62-8234,Radiology,Hypertension,14537.88,2026-04-20
PT-1437,Dustin Day,773-35-0734,Cardiology,Hypertension,9052.28,2026-04-14
PT-1438,Holly Gallegos,592-48-0892,Pediatrics,Hypertension,4549.95,2026-05-19
PT-1439,Justin Bryant,896-46-5818,Cardiology,Migraine,13653.39,2026-08-07
PT-1440,Cathy Munoz,576-88-7869,Pediatrics,Type 2 Diabetes,12632.57,2026-02-19
PT-1441,Richard Moon,472-55-6254,Radiology,Hypertension,13322.77,2026-04-05
PT-1442,Scott Boyd,407-24-6920,Oncology,Hypertension,13182.23,2026-03-28
PT-1443,Laurie Henderson,148-12-1966,Cardiology,Asthma,3480.59,2026-03-10
PT-1444,Robert Nelson,112-62-9279,Radiology,Fracture,8739.87,2026-07-23
PT-1445,Paul Haynes,559-07-6690,Cardiology,Asthma,9019.7,2026-07-04
PT-1446,Kevin Howard,462-47-5573,Radiology,Asthma,10422.02,2026-07-19
PT-1447,Alexander Cline,297-84-5321,Radiology,Hypertension,1864.11,2026-04-21
PT-1448,Robert Dean,331-43-3806,Radiology,Type 2 Diabetes,12856.92,2026-01-06
PT-1449,Kyle Wright,770-10-8354,Pediatrics,Hypertension,10453.39,2026-02-08
PT-1450,Toni Herrera,886-90-9392,Cardiology,Hypertension,12474.01,2026-04-02
PT-1451,Rachael Schroeder,732-79-9886,Cardiology,Type 2 Diabetes,1163.97,2026-06-11
PT-1452,Kristen Reeves,218-41-8555,Pediatrics,Migraine,2089.79,2026-05-10
PT-1453,Anita Clark,356-40-1919,Oncology,Type 2 Diabetes,2119.72,2026-05-03
PT-1454,Steven Cain,164-88-8134,Pediatrics,Fracture,1369.6,2026-07-29
PT-1455,Anna Ramos,781-90-3551,Pediatrics,Hypertension,1512.39,2026-07-25
PT-1456,Ashley Morrow,309-81-5446,Cardiology,Migraine,5823.51,2026-01-06
PT-1457,Aaron Wood,496-52-0669,Radiology,Migraine,11089.69,2026-06-16
PT-1458,Mark Lester,473-36-6928,Pediatrics,Hypertension,12591.09,2026-04-30
PT-1459,Shawn Lin,612-28-0110,Radiology,Fracture,13863.09,2026-08-06
PT-1460,Brandi Phillips,027-16-2415,Radiology,Type 2 Diabetes,11124.44,2026-01-01
PT-1461,Michele Kelley,854-92-5204,Radiology,Asthma,2859.86,2026-02-08
PT-1462,Roberto Little,099-83-0152,Radiology,Asthma,12228.37,2026-03-10
PT-1463,Audrey Krause,849-60-1229,Oncology,Asthma,3903.51,2026-03-22
PT-1464,Justin Black,567-97-9534,Oncology,Fracture,13013.61,2026-01-02
PT-1465,Michelle Chung,805-96-8558,Cardiology,Hypertension,696.88,2026-07-21
PT-1466,Jennifer Hobbs,327-95-6273,Pediatrics,Type 2 Diabetes,1588.47,2026-04-16
PT-1467,Matthew Morris,109-31-6211,Radiology,Asthma,4677.39,2026-04-01
PT-1468,Nicole Robertson,180-93-8300,Cardiology,Type 2 Diabetes,12788.1,2026-04-15
PT-1469,Ashley Morales,456-24-7441,Cardiology,Type 2 Diabetes,2322.79,2026-03-17
PT-1470,Benjamin Perez,583-79-9789,Oncology,Migraine,3259.89,2026-07-15
PT-1471,Nicholas Underwood,066-06-4136,Pediatrics,Hypertension,529.7,2026-03-14
PT-1472,Kelly Juarez,735-37-3622,Pediatrics,Hypertension,2259.33,2026-07-02
PT-1473,Robert Perez,007-08-6545,Oncology,Asthma,9932.07,2026-03-07
PT-1474,Raymond Miranda,485-05-2813,Oncology,Type 2 Diabetes,7837.35,2026-01-17
PT-1475,Jason Smith,438-25-2489,Oncology,Hypertension,14511.15,2026-02-09
PT-1476,Michael Collins,809-30-2926,Pediatrics,Fracture,1538.48,2026-08-10
PT-1477,Sarah Peterson,514-81-5406,Oncology,Asthma,3840.74,2026-02-04
PT-1478,Melissa Rodriguez,070-93-2526,Cardiology,Asthma,11212.54,2026-02-26
PT-1479,Juan Carter,898-37-0347,Cardiology,Asthma,11113.79,2026-08-28
PT-1480,David Thomas,418-08-9921,Cardiology,Type 2 Diabetes,4099.91,2026-01-17
PT-1481,Kimberly Powers,030-42-0148,Cardiology,Fracture,13835.27,2026-08-17
PT-1482,Marie Garner,700-46-1677,Oncology,Asthma,10694.17,2026-01-22
PT-1483,Brian Hubbard,592-04-4997,Radiology,Hypertension,10784.44,2026-03-11
PT-1484,Rachel Brooks,669-96-8072,Pediatrics,Type 2 Diabetes,7897.08,2026-03-07
PT-1485,Tanya Morris,346-82-8496,Pediatrics,Hypertension,7666.18,2026-06-01
PT-1486,Elizabeth Ford,092-59-3058,Oncology,Hypertension,12359.81,2026-04-09
PT-1487,Ricardo Aguirre,385-53-6301,Pediatrics,Migraine,5090.33,2026-02-07
PT-1488,Emily Murray,362-13-7552,Radiology,Asthma,10276.33,2026-01-04
PT-1489,Susan Lewis,017-13-7428,Cardiology,Type 2 Diabetes,13664.54,2026-04-28
PT-1490,Ryan Oliver,632-61-4739,Pediatrics,Hypertension,8957.13,2026-03-23
PT-1491,Nicole Johnson,411-96-7416,Cardiology,Type 2 Diabetes,11320.11,2026-05-02
PT-1492,Alexandra Dixon,635-37-8738,Oncology,Hypertension,7086.07,2026-02-16
PT-1493,Virginia Wilson,273-40-7780,Pediatrics,Hypertension,4149.93,2026-03-16
PT-1494,Amanda Hamilton,701-87-4608,Cardiology,Hypertension,1437.21,2026-06-25
PT-1495,Timothy Copeland,880-21-2199,Radiology,Type 2 Diabetes,2417.84,2026-06-04
PT-1496,Katie Brown,344-08-1461,Cardiology,Type 2 Diabetes,1830.98,2026-02-26
PT-1497,Jacob Jones,361-99-1379,Cardiology,Migraine,3561.86,2026-01-09
PT-1498,David Harrington,598-21-5998,Oncology,Migraine,14057.36,2026-03-24
PT-1499,Kristine Lewis,114-28-6419,Cardiology,Migraine,11091.93,2026-08-13
PT-1500,Michael Anderson,655-22-2898,Cardiology,Type 2 Diabetes,7306.99,2026-06-14
PT-1501,Elizabeth Parks,282-14-6264,Cardiology,Asthma,6260.06,2026-01-29
PT-1502,Mrs. Sandra Chaney PhD,312-20-9383,Pediatrics,Asthma,827.69,2026-08-19
PT-1503,Heidi Reyes,537-09-5743,Pediatrics,Type 2 Diabetes,14319.95,2026-07-12
PT-1504,Amy Brooks,039-90-3172,Cardiology,Fracture,13650.28,2026-07-27
PT-1505,Jamie Moore,771-56-2173,Radiology,Asthma,4547.43,2026-05-26
PT-1506,Ashley Brown,484-95-7942,Cardiology,Type 2 Diabetes,13553.26,2026-09-02
PT-1507,Nathan Logan,374-44-0080,Pediatrics,Migraine,2384.58,2026-04-16
PT-1508,Destiny Walker,505-99-5172,Oncology,Migraine,14591.31,2026-09-14
PT-1509,Erin Martinez MD,623-43-7476,Radiology,Hypertension,2950.47,2026-04-05
PT-1510,Connie Martinez,538-06-0459,Radiology,Asthma,13486.55,2026-04-21
PT-1511,Jennifer Freeman,585-26-2961,Radiology,Type 2 Diabetes,1214.79,2026-08-29
PT-1512,Nicholas Davis,832-54-3323,Cardiology,Migraine,519.9,2026-02-27
PT-1513,Tara Young,543-97-2553,Pediatrics,Fracture,14988.73,2026-09-12
PT-1514,Daryl Johnson,088-34-0233,Cardiology,Fracture,4050.66,2026-07-12
PT-1515,Sharon Bailey,724-02-8307,Oncology,Migraine,11634.9,2026-04-11
PT-1516,Lori Taylor,885-02-0211,Pediatrics,Fracture,5334.22,2026-03-06
PT-1517,Charles Schwartz,519-38-0181,Oncology,Asthma,7810.76,2026-06-17
PT-1518,Michael Jennings,336-78-9468,Oncology,Asthma,3506.48,2026-01-16
PT-1519,Timothy Reid,290-42-6408,Radiology,Migraine,11898.42,2026-07-09
PT-1520,Zachary King,429-24-5377,Oncology,Fracture,12096.19,2026-08-14
PT-1521,Emily Miller,373-99-5961,Cardiology,Migraine,5134.23,2026-03-10
PT-1522,Craig Arnold,577-05-6358,Pediatrics,Fracture,2532.43,2026-08-31
PT-1523,Debbie Perez,147-28-5790,Radiology,Hypertension,3687.56,2026-01-30
PT-1524,Dustin West,004-74-1988,Pediatrics,Hypertension,1701.54,2026-01-29
PT-1525,Antonio Peters,265-20-4700,Radiology,Migraine,13303.56,2026-01-01
PT-1526,Ronald Zhang,213-32-4241,Radiology,Fracture,5666.04,2026-01-09
PT-1527,Kevin Richmond,612-69-5821,Pediatrics,Type 2 Diabetes,1580.09,2026-03-04
PT-1528,Kenneth Ross,293-01-9479,Cardiology,Asthma,7232.8,2026-08-08
PT-1529,Alicia Brown,316-43-4015,Cardiology,Asthma,14413.58,2026-08-31
PT-1530,Shawn Nelson,502-34-5337,Cardiology,Type 2 Diabetes,12374.82,2026-04-30
PT-1531,Melinda Dalton,100-69-3059,Pediatrics,Type 2 Diabetes,8801.96,2026-02-28
PT-1532,Eric Anderson,836-96-9711,Pediatrics,Migraine,8396.63,2026-02-11
PT-1533,Charles Ruiz,266-59-9023,Radiology,Migraine,4131.97,2026-05-20
PT-1534,Katherine Reid,024-89-5896,Pediatrics,Asthma,13885.12,2026-05-09
PT-1535,Elizabeth Cunningham,128-31-9546,Oncology,Migraine,5514.18,2026-08-26
PT-1536,Jaime Lewis,330-73-9280,Pediatrics,Migraine,14323.88,2026-01-09
PT-1537,Heidi Higgins,549-57-9792,Cardiology,Type 2 Diabetes,3283.65,2026-04-23
PT-1538,Catherine Cole,230-10-1525,Oncology,Fracture,8377.61,2026-05-16
PT-1539,Anne Foster,563-79-8886,Radiology,Type 2 Diabetes,4191.74,2026-09-16
PT-1540,Joseph Simpson,518-94-7315,Pediatrics,Type 2 Diabetes,10884.83,2026-04-18
PT-1541,Kevin Turner MD,448-07-8469,Pediatrics,Hypertension,2844.74,2026-07-06
PT-1542,Elizabeth Collins,805-85-4608,Radiology,Type 2 Diabetes,11858.79,2026-03-21
PT-1543,Heather Cook,857-15-7995,Pediatrics,Migraine,12150.86,2026-07-31
PT-1544,Micheal Greene,836-77-2807,Pediatrics,Fracture,8325.17,2026-05-26
PT-1545,Jason Thomas,227-95-6084,Cardiology,Migraine,3826.6,2026-05-08
PT-1546,Travis Johnson,690-26-8383,Radiology,Fracture,969.88,2026-03-27
PT-1547,Lisa Robbins,039-62-2419,Oncology,Type 2 Diabetes,10865.57,2026-06-16
PT-1548,Isabel Davis,506-35-8733,Radiology,Hypertension,6989.31,2026-07-31
PT-1549,Hayden Armstrong,332-85-8382,Cardiology,Fracture,13839.81,2026-07-30
PT-1550,Stephen Terry,689-02-7192,Cardiology,Fracture,12084.08,2026-08-06
PT-1551,Ronald Barr,856-89-2722,Radiology,Type 2 Diabetes,4352.58,2026-03-14
PT-1552,Tracey Riley,334-54-7315,Cardiology,Fracture,10788.08,2026-08-21
PT-1553,Natasha Montgomery,497-63-2013,Oncology,Migraine,6587.34,2026-06-13
PT-1554,William Martin,412-18-1393,Radiology,Asthma,4788.21,2026-02-12
PT-1555,Rachel Terry,499-52-8217,Pediatrics,Type 2 Diabetes,2798.82,2026-03-02
PT-1556,Stephanie Conway,883-71-9064,Pediatrics,Fracture,6646.73,2026-07-27
PT-1557,Nicole Clay,419-32-6646,Radiology,Asthma,2231.5,2026-04-11
PT-1558,William Lewis,091-96-8440,Pediatrics,Asthma,214.53,2026-05-13
PT-1559,Joseph Greer,787-60-4430,Radiology,Fracture,14307.82,2026-08-08
PT-1560,Luke Murphy,510-27-4271,Cardiology,Asthma,6563.09,2026-08-08
PT-1561,Hannah Mcbride,559-87-2857,Oncology,Hypertension,13774.84,2026-08-23
PT-1562,Jennifer Krause,404-78-6213,Oncology,Hypertension,8821.37,2026-02-19
PT-1563,Nathan Hall,780-03-2432,Radiology,Hypertension,2039.59,2026-04-25
PT-1564,Rebecca Williams,284-27-7988,Pediatrics,Asthma,5041.93,2026-01-15
PT-1565,Brandon Russell,164-18-2644,Pediatrics,Fracture,8712.75,2026-08-30
PT-1566,Mary Powell,072-44-8354,Radiology,Hypertension,12921.57,2026-01-15
PT-1567,Molly Jimenez,715-35-8782,Pediatrics,Type 2 Diabetes,1436.2,2026-07-20
PT-1568,Sara Jordan,316-48-5499,Pediatrics,Migraine,9710.62,2026-07-10
PT-1569,Yolanda Wade,111-81-2995,Cardiology,Migraine,1035.23,2026-09-03
PT-1570,David Anderson,143-94-4394,Oncology,Migraine,8187.97,2026-08-17
PT-1571,Thomas Davis,676-72-6686,Pediatrics,Migraine,1029.98,2026-05-15
PT-1572,Robert Green,457-37-7708,Oncology,Hypertension,6123.37,2026-04-07
PT-1573,Mark Mcgrath,687-96-9997,Pediatrics,Fracture,12873.47,2026-07-26
PT-1574,Jennifer Fisher,099-73-4850,Oncology,Asthma,12358.84,2026-04-27
PT-1575,Adrian Black,781-68-7006,Oncology,Hypertension,7763.85,2026-05-01
PT-1576,Allison Robinson,129-59-3916,Radiology,Fracture,6579.22,2026-07-29
PT-1577,Luke Kim,233-80-3335,Pediatrics,Fracture,14904.14,2026-07-04
PT-1578,Natasha Frazier,882-06-4857,Pediatrics,Fracture,220.02,2026-04-16
PT-1579,Samantha Robinson,179-60-1888,Radiology,Hypertension,5715.15,2026-07-18
PT-1580,Thomas Evans,335-91-4373,Oncology,Migraine,13402.3,2026-05-29
PT-1581,Angela Harris,646-28-2212,Oncology,Type 2 Diabetes,753.56,2026-01-05
PT-1582,Anne Jensen,088-03-3464,Cardiology,Asthma,5990.42,2026-03-09
PT-1583,Bradley Dunn,332-42-8075,Oncology,Asthma,13941.81,2026-02-20
PT-1584,Tiffany Turner,039-75-7855,Cardiology,Asthma,11498.96,2026-07-15
PT-1585,Ryan Jones,341-55-2959,Pediatrics,Asthma,11826.81,2026-08-14
PT-1586,Michael Cole,086-45-7388,Radiology,Fracture,1768.61,2026-05-06
PT-1587,Matthew Diaz,146-76-6984,Radiology,Fracture,13680.29,2026-08-02
PT-1588,Timothy Murphy,746-55-2821,Cardiology,Migraine,11266.1,2026-02-19
PT-1589,Matthew Brown,065-45-7665,Radiology,Asthma,9076.23,2026-01-11
PT-1590,Jamie Bray,355-15-6886,Cardiology,Type 2 Diabetes,451.02,2026-02-27
PT-1591,Leslie Stanton,241-40-8435,Radiology,Fracture,6912.22,2026-01-19
PT-1592,Keith Larson,264-32-8635,Oncology,Asthma,12450.27,2026-05-30
PT-1593,John Moon,317-67-0491,Cardiology,Hypertension,594.04,2026-03-16
PT-1594,Dylan Norman,555-18-7037,Pediatrics,Migraine,797.41,2026-08-09
PT-1595,Brian Hernandez,268-59-6176,Oncology,Migraine,13535.23,2026-05-19
PT-1596,Todd Berry,629-95-3850,Oncology,Hypertension,3168.09,2026-06-09
PT-1597,Michael Garcia,889-29-6902,Oncology,Hypertension,11259.2,2026-06-03
PT-1598,Robert Jackson,362-91-4316,Pediatrics,Asthma,13829.78,2026-01-28
PT-1599,Kendra Fox,592-43-3124,Oncology,Hypertension,9057.72,2026-04-18
PT-1600,Gregory Larson,665-12-6525,Pediatrics,Fracture,7131.45,2026-02-19
PT-1601,Eileen Smith,416-10-5134,Radiology,Type 2 Diabetes,12926.22,2026-01-29
PT-1602,Sheila Hernandez,434-65-8388,Pediatrics,Fracture,7550.65,2026-09-05
PT-1603,Ryan Brennan,416-11-3799,Radiology,Migraine,13333.39,2026-09-09
PT-1604,Martha Mann,641-57-0924,Pediatrics,Migraine,1113.78,2026-04-13
PT-1605,Christie Cooper,685-91-2410,Pediatrics,Migraine,1566.59,2026-07-12
PT-1606,Sara Gordon,282-86-3948,Cardiology,Asthma,8342.45,2026-09-04
PT-1607,Robert Reilly,435-18-9499,Oncology,Migraine,1407.99,2026-01-22
PT-1608,Erin Jones,280-16-3256,Pediatrics,Fracture,7268.65,2026-01-29
PT-1609,Patricia Brown,191-43-0066,Radiology,Type 2 Diabetes,4661.48,2026-06-06
PT-1610,Kathryn Warren,885-74-6012,Cardiology,Hypertension,4911.94,2026-07-28
PT-1611,Susan Love,560-44-3881,Pediatrics,Fracture,9539.97,2026-01-05
